id	db_id	x	y
1579	49718410	-77.005103	38.9612713
1580	49718413	-77.005567	38.961549
1581	49718415	-77.024563	38.8611219
1582	49718509	-77.01932	38.928358
1583	49718701	-77.0260898	38.9684353
1584	49718716	-76.998377	38.9462712
1585	49718775	-76.991658	38.844127
1586	49718776	-76.993758	38.877525
1587	49718798	-76.936094	38.873462
1588	49718805	-76.9693358	38.8617938
1589	49718816	-76.969373	38.861223
1590	49718864	-76.99278	38.859561
1591	49718877	-76.992781	38.859118
1592	49718911	-76.9819388	38.9007422
1593	49718928	-76.9828882	38.9007391
1594	49719230	-76.9785401	38.9171666
1595	49719235	-76.9785454	38.9172743
1596	49719266	-76.9777585	38.9172903
1597	49719320	-77.005892	38.883233
1598	49719321	-77.0058137	38.8832917
1599	49719415	-77.0570287	38.9052445
1600	49719416	-77.0460848	38.9169965
1601	49719422	-77.0464536	38.9168638
1602	49719425	-77.0467448	38.9167755
1603	49719428	-77.030264	38.960219
1604	49719434	-77.030024	38.95999
1605	49719435	-77.0053405	38.8832462
31367	49719436	-77.00589	38.883294
31368	49719438	-77.006361	38.883345
31369	49719440	-77.0787332	38.9496874
31370	49719533	-77.0192306	38.9367867
31371	49719539	-77.019685	38.93725
31372	49719562	-77.0267322	38.8829934
31373	49719706	-77.034885	38.936716
31374	49719725	-77.034196	38.93696
31375	49719774	-77.0186347	38.8175128
31376	49719784	-77.0221578	38.8195635
31377	49719842	-77.0271977	38.8167716
31378	49719847	-77.026945	38.816805
31379	49719866	-77.0252638	38.8173107
31380	49719891	-77.024877	38.816711
31381	49719895	-77.0408793	38.9172142
31382	49719902	-77.0407638	38.9170109
31383	49719904	-77.043587	38.960508
31384	49719921	-77.043076	38.960376
31385	49719962	-77.078877	38.925412
31386	49720010	-76.951948	38.895636
31387	49720045	-77.0702	38.955669
31388	49720056	-77.070644	38.955761
31389	49720086	-77.012179	38.84059
31390	49720114	-77.0816237	38.9069084
31391	49720124	-77.081258	38.907079
31392	49720155	-77.0093361	38.8818408
31393	49720215	-77.0707084	38.9050143
31394	49720239	-76.997736	38.940329
31395	49720271	-76.999001	38.940734
31396	49720292	-76.998093	38.941192
31397	49720307	-76.995791	38.862875
31398	49720309	-77.0180256	38.8208227
31399	49720318	-77.0179557	38.8191788
31400	49720338	-77.0189325	38.816944
31401	49720340	-77.0192418	38.816453
31402	49720342	-77.0197055	38.8157303
31403	49720345	-77.020645	38.814181
31404	49720399	-77.023401	38.8098831
31405	49720400	-77.0238119	38.8099868
31406	49720435	-77.0262102	38.8135228
31407	49720442	-77.026393	38.8140672
31408	49720471	-77.0271655	38.8171394
31409	49720486	-77.013483	38.839062
31410	49720491	-77.0938	38.922129
31411	49720530	-77.093097	38.921704
31412	49720554	-77.093259	38.922224
